# Census of India 2011, total population by state.
# State spellings match outkast's `state` column (note: "tamilnadu", no space).
# Source: https://en.wikipedia.org/wiki/List_of_states_and_union_territories_of_India_by_population
state,population_2011
uttar pradesh,199812341
maharashtra,112374333
bihar,104099452
west bengal,91276115
madhya pradesh,72626809
tamilnadu,72147030
rajasthan,68548437
gujarat,60439692
odisha,41974219
kerala,33406061
assam,31205576
punjab,27743338
chhattisgarh,25545198
haryana,25351462
uttarakhand,10086292
nagaland,1978502
arunachal pradesh,1383727
mizoram,1097206
sikkim,610577
